reason,root_vel_max,root_vel_min,root_acc_max,root_acc_min,still_max_sec,trajectory_duration_sec,present_ratio,center_valid_frame_ratio,center_valid_frame_count,video_duration_sec,seq_name,frame_count,track_count,video_width,video_height,video_path,pkl_path,object_key,source_path,scenario,environment,task_label,subtask_label,s3_uri,date,bucket
pass,2.385536,0.002101,62.197785,0.003594,1.468133,28.061367,-1.000000,,,28.061367,43177_3592_31648,841,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/1634/43177_3592_31648_mano/43177_3592_31648_mano.pkl,work-122/clips/家庭服务类/1634/43177_3592_31648.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/1634/43177_3592_31648.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/1634/43177_3592_31648.mp4,20260422,part_001
pass,4.116504,0.025622,108.312594,0.000000,0.333667,9.843167,-1.000000,,,9.843167,43505_3130_12944,295,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/24591/43505_3130_12944_mano/43505_3130_12944_mano.pkl,work-122/clips/家庭服务类/24591/43505_3130_12944.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/24591/43505_3130_12944.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/24591/43505_3130_12944.mp4,20260422,part_001
pass,4.973840,0.009812,88.765731,0.000000,0.333667,9.376033,-1.000000,,,9.376033,43364_2273_11653,281,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/24594/43364_2273_11653_mano/43364_2273_11653_mano.pkl,work-122/clips/家庭服务类/24594/43364_2273_11653.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/24594/43364_2273_11653.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/24594/43364_2273_11653.mp4,20260422,part_001
pass,3.690861,0.016058,108.516769,0.000000,0.333667,9.275933,-1.000000,,,9.275933,43365_12221_21506,278,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/24594/43365_12221_21506_mano/43365_12221_21506_mano.pkl,work-122/clips/家庭服务类/24594/43365_12221_21506.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/24594/43365_12221_21506.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/24594/43365_12221_21506.mp4,20260422,part_001
pass,15.102225,0.016076,433.946744,0.000000,0.266933,9.843167,-1.000000,,,9.843167,43301_46051_55898,295,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/24596/43301_46051_55898_mano/43301_46051_55898_mano.pkl,work-122/clips/家庭服务类/24596/43301_46051_55898.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/24596/43301_46051_55898.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/24596/43301_46051_55898.mp4,20260422,part_001
pass,3.479879,0.015998,98.477069,0.000000,0.400400,6.639967,-1.000000,,,6.639967,43249_27530_34179,199,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/24597/43249_27530_34179_mano/43249_27530_34179_mano.pkl,work-122/clips/家庭服务类/24597/43249_27530_34179.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/24597/43249_27530_34179.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/24597/43249_27530_34179.mp4,20260422,part_001
pass,5.211210,0.012462,112.293800,0.000000,1.001000,19.486133,-1.000000,,,19.486133,43919_94_19580,584,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/25242/43919_94_19580_mano/43919_94_19580_mano.pkl,work-122/clips/家庭服务类/25242/43919_94_19580.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/25242/43919_94_19580.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/25242/43919_94_19580.mp4,20260422,part_001
pass,9.327710,0.012921,122.219245,0.000000,0.667333,20.987633,-1.000000,,,21.021000,43895_97_21102,630,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/25244/43895_97_21102_mano/43895_97_21102_mano.pkl,work-122/clips/家庭服务类/25244/43895_97_21102.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/25244/43895_97_21102.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/25244/43895_97_21102.mp4,20260422,part_001
pass,7.130741,0.010578,140.950986,0.000000,0.300300,22.322300,-1.000000,,,22.322300,43467_23588_45912,669,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/25280/43467_23588_45912_mano/43467_23588_45912_mano.pkl,work-122/clips/家庭服务类/25280/43467_23588_45912.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/25280/43467_23588_45912.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/25280/43467_23588_45912.mp4,20260422,part_001
pass,4.023673,0.012587,104.645217,0.000000,0.367033,19.953267,-1.000000,,,19.953267,43278_2632_22581,598,2,,,,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_mano/202604/0422/part_001/work-122/clips/家庭服务类/25616/43278_2632_22581_mano/43278_2632_22581_mano.pkl,work-122/clips/家庭服务类/25616/43278_2632_22581.mp4,/home/ubuntu/Synadata_dev/jeff/Synadata/dyn-hamr/ego_hand_videos/202604/0422/part_001/work-122/clips/家庭服务类/25616/43278_2632_22581.mp4,家庭服务类,家庭餐区,杯具摆盘,透明杯摆放入盘,s3://production-clipped/work-122/clips/家庭服务类/25616/43278_2632_22581.mp4,20260422,part_001
